maintext,title,scores
"OTTAWA — Les Canadiens du Québec et de l’Ontario qui vivaient en appartement ou au sein d’un ménage plus nombreux lors de la première vague de la pandémie de coronavirus étaient plus à risque de mourir de la COVID-19 que les autres, selon les conclusions d’une recherche que publie Statistique Canada mardi.
Par exemple, au Québec, les taux de mortalité attribuables à la COVID-19 étaient 2,3 fois plus élevés chez les personnes vivant dans des tours d’habitation que chez celles vivant dans des maisons individuelles non attenantes.
En Ontario, les taux de mortalité attribuables au coronavirus étaient 1,9 fois plus élevés chez les personnes vivant dans des tours d’habitation.
D’autre part, l’agence fédérale a aussi constaté que le risque de décès attribuable à la COVID-19 était plus élevé chez les personnes vivant dans des ménages nombreux.
Au Québec, les taux de mortalité étaient 1,4 fois plus élevés chez les personnes vivant dans un ménage de cinq personnes ou plus que chez celles vivant dans un ménage d’une personne. En Ontario, les taux étaient 1,7 fois plus élevés chez les personnes vivant dans un ménage de cinq personnes ou plus que chez les personnes vivant dans un ménage composé d’une seule personne.
Statistique Canada rappelle qu’au pays, des mesures de distanciation physique ont été mises en œuvre dans les espaces publics à partir de la mi-mars 2020 en raison des risques de propagation de la COVID-19.
Cependant, l’agence fédérale a observé que le respect de ces mesures peut représenter un défi pour les personnes qui vivent au même endroit, surtout si l’espace est restreint ou si de nombreuses personnes vivent dans le même immeuble.",COVID-19: plus de risque de mort en ménage plus nombreux ou en appartement,0.61
"En partenariat avec la plateforme Airbnb, la station de la Clusaz en Haute-Savoie propose des séjours d'un mois à 1 euro pour attirer des télétravailleurs qui veulent déménager à la montagne. #IlsOntLaSolution
C'est une offre originale que propose la station de La Clusaz en partenariat avec la plateforme Airbnb. Des séjours à 1 euro pour une durée d'un mois en chalet sont proposés. Mais cette offre est réservée aux personnes qui veulent s'installer pour une longue durée à la montagne. ""C'est une clientèle de long séjour qui souhaite découvrir La Clusaz, dans tous les angles, et notamment pour le travail et le télétravail"", explique Michaël Donzel, le premier adjoint au maire de La Clusaz.
Hervé Bozon, un chef d'entreprise qui partage son temps entre Annecy, pour le travail, et La Clusaz, pour profiter de la nature, entre dans la case des profils recherchés. ""Je cherche à avoir un temps sans stress, un temps de liberté, d'aspiration et de réflexion"", dit-il.
Avec le développement du télétravail, des stations de montagne veulent attirer une population qui s'y établirait à l'année. La fondatrice de l'espace de coworking de La Clusaz, Cathy Neyrinck, en sait quelque chose. ""J'ai moi-même télétravaillé pendant des années en habitant à la Clusaz. C'est un cadre de vie tout à fait agréable"", témoigne t-elle.",La station de La Clusaz propose des séjours mensuels à 1 euro pour les télétravailleurs,0.92
"MUTATION COVID. Alors que la stratégie vaccinale est en train de mettre en place un peu partout dans le monde, une nouvelle mutation du Covid-19 a été détectée au Royaume-Uni. Est-elle dangereuse ? Les premières réponses.
Une chose est sûre, le coronavirus de la fin de l'année 2019 n'est pas le même que celui de la fin de l'année 2020. Pendant plusieurs mois, la première ""version"" du Covid-19 a déjà évolué en de nombreuses mutations, 25 selon les chiffres du Parisien. Des changements qui ne sont pas une surprise pour la communauté scientifique, ils sont très commun dans la vie des virus. Mais alors que le vaccin et la stratégie vaccinale sont en train de se mettre en place un peu partout dans le monde, une nouvelle mutation du virus a fait son apparition au Royaume-Uni, obligeant le pays à prendre de nouvelles mesures face à la sensible augmentation des cas.
Devant les députés du pays, le ministre de la Santé Matt Hancock a en effet expliqué qu'une nouvelle ""variante"" du virus avait été identifiée dans le pays et signalée à l'Organisation mondiale de la Santé (OMS). Cette souche du virus, identifiée chez plus de 1 000 personnes dans le sud de l'Angleterre, pourrait être impliquée dans la propagation ""exponentielle"" du virus dans cette région, sans que l'on sache ""dans quelle mesure"", comme l'explique Matt Hancock. Lors d'une conférence de presse, le médecin-chef Chris Whitty a indiqué qu'il était encore difficile de savoir ""si ce virus est plus fréquent car il se trouve dans une zone où de toute manière l'épidémie gagne du terrain ou si c'est le virus lui-même qui arrive à se transmettre plus facilement"".
S'il est encore trop tôt pour affirmer une éventuelle dégradation des effets du vaccin, les autorités sanitaires se veulent toutefois rassurantes, précisant que rien n'indique jusqu'ici que cette mutation n'entraîne une forme plus grave de la maladie, ni qu'elle ne réponde pas à un vaccin. ""Est-ce que ça rend le virus plus grave ? Se transmet-il plus facilement ? Cela complique-t-il le diagnostic ? Les effets du vaccin sont-ils altérés par cette mutation ? Voilà les questions qui se posent et nous n'avons aucune information suggérant que ce soit le cas"" a également rassuré Michael Ryan, responsable des situations d'urgence sanitaire à l'organisation mondiale.
D'après une étude publiée fin novembre dans la revue Nature, ""à ce stade, nous ne trouvons aucune preuve de lignées de Sars-CoV-2 significativement plus transmissibles en raison de mutations récurrentes"", écrivent les chercheurs, qui précisent que ""les mutations récurrentes actuellement en circulation semblent être neutres sur le plan de l'évolution et principalement induites par le système immunitaire humain, via l'édition de l'ARN"". Pour la souche trouvée dans le sud de l'Angleterre, les conclusions sont les mêmes, ""la variante est porteuse du N501Y, a priori sans mutation inquiétante"", explique François Balloux, directeur de l'Institut de génétique de l'university College London.
Newsletter Linternaute.com Voir un exemple inscription Newsletters Les informations recueillies sont destinées à CCM Benchmark Group pour vous assurer l'envoi de votre newsletter. Elles seront également utilisées sous réserve des options souscrites, à des fins de ciblage publicitaire. Vous bénéficiez d'un droit d'accès et de rectification de vos données personnelles, ainsi que celui d'en demander l'effacement dans les limites prévues par la loi. Vous pouvez également à tout moment revoir vos options en matière de ciblage. En savoir plus sur notre politique de confidentialité.
Interrogé sur le sujet, Jean-François Delfraissy, président du Conseil scientifique en France. ""La crainte, c'est une véritable mutation de la protéine Spike, c'est-à-dire celle qui permet au virus de s'accrocher. Or, celle décrite par les Anglais porte sur cette protéine, et des données suggèrent que le virus serait plus infectieux. Cela demande à être confirmé. Je ne suis pas inquiet car nous avons déjà levé ce type d'alerte : rappelez-vous les récentes craintes sur les visons"" explique-t-il au Parisien.",Mutation du Covid-19 : la souche détectée au Royaume-Uni doit-elle inquiéter ?,0.56
"Début octobre, plus de 400 élèves infirmiers de l'Assistance publique-Hôpitaux de Paris vont être mobilisés dans le cadre de leur stage pour réaliser des tests dans les aéroports parisiens ou encore prendre les appels de la plateforme Covidom.
Ils refusent de sacrifier leur formation sur l'autel de la crise sanitaire. Un collectif d'étudiants infirmiers de l'Assistance publique-Hôpitaux de Paris dénonce, vendredi 2 octobre dans un communiqué, la mobilisation de 440 des leurs pour renforcer le dispositif de lutte contre le Covid-19. ""Nous ne sommes pas une main d'œuvre au rabais"", proteste Léonie* auprès de franceinfo.
Leur premier stage de deuxième année, d'une durée de cinq semaines, va être profondément modifié. ""A compter de lundi prochain 5 octobre, ils rejoindront les équipes de Covidom [une plateforme téléphonique de suivi des malades peu graves], de l'HAD [hospitalisation à domicile] ou des EOH [équipe opérationnelle d'hygiène], au lieu des services hospitaliers initialement prévus"", peut-on lire dans un mail consulté par franceinfo. Ils seront par exemple mobilisés dans les aéroports pour faire des tests PCR ou nettoieront les locaux hospitaliers. La directrice des soins à l'AP-HP, Michèle Jarraya, a reconnu devant les étudiants que ""ce n'est pas ce que [l'AP-HP] aimer[ait] enseigner"", tout en défendant la nécessité de faire face à la pandémie.
""On ne veut pas avoir un diplôme Covid""
""Un test PCR, vous le faites une fois, vous savez le faire dix fois. Ce n'est pas du tout instructif, ce n'est pas un stage qualifiant"", proteste Léonie*, déjà mobilisée lors de la première vague au printemps. Avec ses camarades, elle redoute l'impact de ces stages sur leur diplôme. ""On ne veut pas avoir un diplôme Covid, dévalorisé, avec que du soin Covid. On ne peut pas être formés simplement sur les soins d'une seule pathologie"", argumente-t-elle. Cette décision les prive également de contacts dans les services hospitaliers pour trouver du travail à la sortie de leur formation.
Consciente des risques de fronde, l'AP-HP a pris les devants en annonçant dans la foulée une revalorisation de l'indemnité de stage pour cette période. Fixée à 38 euros par semaine, elle sera augmentée de 100 euros. ""Cela ne nous satisfait pas"", réagit Léonie, en comparant cette indemnité (690 euros pour cinq semaines de stage) au smic (1 219 euros net par mois). Un avis partagé par le syndicat SUD-Santé dans un communiqué publié le 29 septembre, avant l'annonce de la revalorisation de 100 euros.
En tension alors même que la deuxième vague n’est encore qu’hypothétique, l’APHP contraint les étudiants en soins... Publiée par SUD Santé Ap-hp sur Mardi 29 septembre 2020
Dans le communiqué publié vendredi 2 octobre, le collectif d'étudiants demande donc ""d'être rémunéré à hauteur d'un smic horaire"". ""Si l'AP-HP a besoin de nous au point d'annuler les stages de 440 étudiants en soins infirmiers et d'impacter à nouveau la qualité de notre formation, c'est un RENFORT et NON UN STAGE"", estiment-ils.
Communiqué de presse des étudiants infirmiers de l'AP-HP by Franceinfo on Scribd
Enfin, les étudiants s'inquiètent des conditions dans lesquelles ils vont travailler. Michèle Jarraya ""nous a garanti que nous aurions les protections nécessaires. La dernière fois, nous avions aussi eu des garanties, mais nous n'avions pas eu d'équipements"", dénonce Léonie.
Contactée par franceinfo, l'AP-HP assure qu'il ""ne s'agit pas d'un appel à renfort en ressources humaines, mais de stages infirmiers encadrés par des tuteurs, avec apprentissage de gestes techniques et de compétences"". Elle ajoute que les ""terrains de stage sont diversifiés, avec plusieurs stages en un"" (télésuivi, hospitalisation à domicile, hygiène hospitalière, dépistage). ""Cela permet de proposer un parcours de stage très riche et varié, loin d'être monothématique, et en lien avec l'activité principale de santé publique actuellement"", estime-t-elle, sans donner de réponse sur l'indemnité de stage ou les conditions de sécurité. Il est peu probable que ces réponses convainquent les étudiants, qui ont prévu de manifester lundi 5 octobre devant le campus Picpus de l'AP-HP.
* Le prénom a été modifié.","Covid-19 : des étudiants infirmiers de l'AP-HP refusent d'être ""la main d'œuvre au rabais"" de la lutte contre l'épidémie",0.23
"La rapidité avec laquelle ont été créés les vaccins contre la Covid-19 ne signifie pas que les tests ont été bâclés par les laboratoires. Les chercheurs mènent bien tous les essais cliniques indispensables. ""Les conditions correspondent aux standards à la fois en termes d'efficacité et de sécurité. Il faut quand même voir que ce sont des dizaines de milliers de volontaires à qui on aura injecté le vaccin. On peut être raisonnablement rassuré"", assure Michel Goldman, professeur d'immunologie à l'Université de Bruxelles.
La recherche et la production menées simultanément
Si les scientifiques ont été aussi rapides, c'est parce qu'ils étaient très nombreux et très bien financés par les laboratoires privés et les institutions publiques. ""Pour la première fois, il y a eu une coopération entre divers industriels qui a permis d'avancer encore plus vite"", note Jean-Paul Stahl, professeur de médecine infectieuse au CHU de Grenoble. La phase de recherche et de production ont, en outre, été menées simultanément pour plusieurs vaccins, ce qui n'arrive jamais.",Vrai ou Fake : faut-il s'inquiéter de la rapidité avec laquelle ont été conçus les vaccins contre le Covid-19 ?,0.67
"""Peu après 10h ce matin, un avion médical a décollé avec à son bord deux patients atteints par la Covid-19, rapporte le journaliste Quentin Duval depuis Besançon. Un premier patient a été transféré en hélicoptère depuis l'hôpital de Vesoul, l'autre a été transféré en ambulance depuis le CHU de Besançon"". Des transferts qui vont se répéter, la pression hospitalière est très importante sur les hôpitaux de la région.
La Bourgogne-Franche-Comté l 'un des régions les plus touchées
La région Bourgogne-Franche-Comté est l'une des régions les plus touchées par cette deuxième vague de Covid-19. Le Doubs est le second département avec le taux d'incidence le plus élevé, juste derrière les Ardennes. ""Les personnes de plus de 60 ans sont les plus vulnérables, les plus durement touchées par cette maladie à l'image des deux patients transférés ce matin qui avaient entre 60 et 70 ans"", conclut le journaliste pour France Télévisions.
Le JT
Les autres sujets du JT",Bourgogne-Franche-Comté : transferts de patients pour soulager les hôpitaux,0.4
"Coup de théâtre à l'Assemblée nationale. Mardi 3 novembre, à 21h45, l'opposition parlementaire, emmenée par Les Républicains, profite des rangs clairsemés dans la majorité pour réduire la durée de l'état d'urgence sanitaire. Un camouflet, pour le gouvernement. Le ministre de la Santé Olivier Véran revient alors dans l'hémicycle ; il raconte sa visite, plus tôt dans la journée, dans un service de réanimation, et laisse exploser sa colère. ""C'est ça, la réalité, Mesdames et Messieurs les députés ! Si vous ne voulez pas l'entendre, sortez d'ici !"", scande-t-il.
""Vous avez été indigne""
La majorité se lève pour applaudir, tandis que l'opposition ne se laisse pas impressionner. ""Vos propos ont été indignes, et vous avez été indigne"", lui a répondu Christian Jacob, le président des Républicains. Le contraste est saisissant : en mars dernier, la première loi sur l'état d'urgence sanitaire était votée par une majorité écrasante ; tous Les Républicains l'avait approuvée. Mardi 3 novembre, l'union nationale a volé en éclat.
Le JT
Les autres sujets du JT",Crise sanitaire : le gouvernement sous pression,0.4
"""Nous, les pharmaciens, on peut injecter un million de doses par semaine"", déclare sur franceinfo dimanche 28 mars Gilles Bonnefond, président de l'Union des syndicats de pharmaciens d'officine. Pour lui, la décision de l'Agence européenne des médicaments (AEM) de modifier les conditions de stockage du vaccin Pfizer-BioNTech, est donc "" une excellente nouvelle"".
En effet, le vaccin le plus utilisé en France va pouvoir être conservé à des températures de congélateur pharmaceutique standard comprises entre -25 et -15°C au lieu des -80 °C recommandées jusque-là, ce qui facilitera sa conservation et sa distribution. ""Avec les grossistes du froid, l'approvisionnement des pharmacies est une chaîne parfaitement encadrée"", détaille le professionnel de santé.
La possibilité de vacciner ""dix fois plus"" qu'aujourd'hui
Cette décision européenne pourrait donc donner un coup d'accélérateur à la campagne de vaccination. Grâce à la proximité avec leur patient et le réseau des infirmiers libéraux, les pharmaciens ont ""un potentiel pour vacciner dix fois plus important que ce que l'on fait aujourd'hui"", estime Gilles Bonnefond.
Le président de l'Union des syndicats de pharmaciens d'officine évacue les interrogations sur cette mesure de l'Agence européenne des médicaments. ""Ce sont de nouveaux types de vaccins. Les laboratoires font des essais au fur et à mesure et regardent les conditions d'utilisation, de conservation... On voit bien que ça évolue en permanence, c'est normal"", observe-t-il. ""Du moment qu'on prend la décision, ça veut dire que c'est sécurisé"", résume Gilles Bonnefond.
La défiance contre Astrazeneca disparait
Les pharmaciens pourront donc injecter les vaccins ARN messager mais aussi continuer à écouler les doses d'AstraZeneca. D'ailleurs, la défiance des patients envers le vaccin après des cas de thrombose semble disparaitre. ""On peut leur répondre parce qu'on a des données scientifiques. Pareil pour les médecins."" Mieux, la demande est bien présente. ""Il y a à peu près une centaine de patients par pharmacie qui sont en attente de vaccination avec AstraZeneca"", affirme le professionnel de santé, qui n'observe ""pas de rejet de ce vaccin.""","Covid-19 : ""On peut injecter un million de doses par semaine"", déclare l'Union des syndicats de pharmaciens d'officine",0.4
"Vendredi 16 octobre à minuit, l’Île-de-France et huit métropoles seront touchées par le couvre-feu instauré par Emmanuel Macron. Lille (Nord) fait partie des villes concernées. Présente sur place, la journaliste France Télévisions Barbara Six révèle que ""l’atmosphère est presque festive, elle est légère. Les Lillois ont envie de marquer le coup. Les restaurateurs nous l’ont d’ailleurs confirmé : ils ont reçu beaucoup plus d’appels de réservation que d’habitude"".
Un troisième service dans certains restaurants
Des restaurants sont tellement débordés que certains gérants ont prévu un troisième service, à 22h30, pour ""tenter de satisfaire tout le monde, mais aussi pour limiter la casse de quatre semaines de couvre-feu"". Le préfet des Hauts-de-France l’a annoncé : les contrôles auront lieu dès vendredi 16 octobre à minuit.
Le JT
Les autres sujets du JT",Couvre-feu : Lille vit sa dernière soirée dans une ambiance festive,0.47
"L'État sera ""derrière les salariés"" des sites industriels français, comme Ascoval, concernés indirectement par le dépôt de bilan de la société britannique de financement Greensill, assure mardi 9 mars dans les “4 Vérités” Bruno Le Maire.
""Je n'ai pas de crainte"" sur d'éventuelles destructions d'emplois sur des sites français, affirme le ministre l'Économie, ajoutant que ""dans tous les cas de figure l'État sera derrière ces sites industriels et derrière les salariés"".
Le plan de relance américain s’élève à 1 900 milliards de dollars. ""Je n’ai pas de crainte particulière sur l’effet du plan américain sur l’économie européenne et les taux d’intérêt. L’activité va vite redémarrer aux États-Unis, un des grands clients de l’UE et de la France. La zone euro peut en profiter économiquement. Notre premier partenaire commercial va pouvoir investir et consommer"", développe le ministre de la Relance.
“La BCE depuis le début de cette crise a bien agi. J’ai toute confiance en Christine Lagarde et la BCE”, souligne Bruno Le Maire.
Le Maire soutiendra en 2022 Macron , le “meilleur pour diriger la France”
“Le secteur privé souffre moins que ce qui avait été anticipé. 320 000 emplois salariés perdus en 2020, c’est trop, mais c’est trois fois moins qu’anticipé, 11% de récession étaient annoncés et elle s’est élevée à un peu plus de 8% finalement”, se réjouit-il.
“L’économie française a des capacités exceptionnelles de rebond et elle va surprendre la zone euro et l’UE d’ici la fin 2021. Ce qui me fait dire ça, c’est le maintien de l’investissement des entreprises, la mobilisation des entrepreneurs, la résistance du marché du travail grâce aux mesures prises pour protéger les salariés et éviter le chômage de masse”, assure le ministre de l’Économie.
“L'économie française retrouvera des couleurs très rapidement dès que les mesures de restrictions sanitaires seront levées”, insiste-t-il.
“Nous retirerons les dispositifs d’aide progressivement et que lorsque la croissance le permettra, rien brutalement et subitement”, affirme-t-il pour rassurer les chefs d’entreprise. Mais, prévient-il, ""quand la croissance sera de retour, il faudra reconstituer les finances publiques pour permettre de faire face à une nouvelle catastrophe dans le futur"".
“Emmanuel Macron est le meilleur pour diriger la France”, selon Bruno Le Maire, qui le soutiendra en 2022. “Marine Le Pen n’est pas automatiquement qualifiée pour le second tour de la présidentielle. Je ne me résigne pas à un duel Macron-Le Pen. Quant à Jean-Luc Mélenchon (LFI) et Olivier Faure (PS), qui ne veulent pas faire barrage au RN, ils sont totalement égarés, tellement aveuglés par leur haine de Macron et la volonté de le voir battu, qu’ils en oublient leur valeur, l’histoire de leur parti et l’intérêt supérieur de leur nation, cela s’appelle du pur cynisme”, conclut Bruno Le Maire.",Bruno Le Maire : “L’économie française a des capacités exceptionnelles de rebond”,0.5
